year,month,business_unit,budgeted_revenue,budgeted_expense,Actual _expense _helper col,BUDGETED EXPENSE_helper col,BUDGET VARIANCE ,Budget_Variance_Outlier_Flag
2022,1,Retail,1530660,1259760,5412829.73,1259760,4153069.73,Normal
2022,1,Enterprise,1689240,1152615,6939353.9,1152615,5786738.9,Normal
2022,1,Online,2069088,1776169,6584819.92,1776169,4808650.92,Normal
2022,2,Retail,1836984,1201730,7080862.72,1201730,5879132.72,Normal
2022,2,Enterprise,1923012,1454263,5236074.52,1454263,3781811.52,Normal
2022,2,Online,1516272,1117069,4984247.55,1117069,3867178.55,Normal
2022,3,Retail,1510920,1106833,4751090.31,1106833,3644257.31,Normal
2022,3,Enterprise,1576692,959653,7072144.35,959653,6112491.35,Normal
2022,3,Online,2119464,1677676,7911632.98,1677676,6233956.98,Normal
2022,4,Retail,1731204,1275919,7684580.34,1275919,6408661.34,Normal
2022,4,Enterprise,2042184,1592655,8597751.39,1592655,7005096.39,Normal
2022,4,Online,2132844,1388082,9740610.31,1388082,8352528.31,Normal
2022,5,Retail,1941312,1464351,6137345.09,1464351,4672994.09,Normal
2022,5,Enterprise,1614000,1241179,4491767.39,1241179,3250588.39,Normal
2022,5,Online,2067444,1506637,9703116.75,1506637,8196479.75,Normal
2022,6,Retail,2269428,2064497,11208969.5,2064497,9144472.5,Normal
2022,6,Enterprise,2156292,1850978,9054052.68,1850978,7203074.68,Normal
2022,6,Online,1828320,1436298,7573821.44,1436298,6137523.44,Normal
2022,7,Retail,2138832,1861077,8362146.54,1861077,6501069.54,Normal
2022,7,Enterprise,1751964,1339025,8041171.89,1339025,6702146.89,Normal
2022,7,Online,2141004,1418391,9745143.05,1418391,8326752.05,Normal
2022,8,Retail,1908504,1350911,12010568.15,1350911,10659657.15,Normal
2022,8,Enterprise,1867140,1528990,8025604.06,1528990,6496614.06,Normal
2022,8,Online,2223636,1574826,9924724.08,1574826,8349898.08,Normal
2022,9,Retail,1864728,1155001,8075252.77,1155001,6920251.77,Normal
2022,9,Enterprise,1946100,1217896,7682518.03,1217896,6464622.03,Normal
2022,9,Online,2091276,1872494,11562401.22,1872494,9689907.22,Normal
2022,10,Retail,2136888,1364682,11469420.46,1364682,10104738.46,Normal
2022,10,Enterprise,1818540,1310868,9711729.04,1310868,8400861.04,Normal
2022,10,Online,1545372,1230762,9423601.42,1230762,8192839.42,Normal
2022,11,Retail,2155812,2019121,10651500.98,2019121,8632379.98,Normal
2022,11,Enterprise,1941984,1299082,9699916.97,1299082,8400834.97,Normal
2022,11,Online,1897800,1222463,9776017.68,1222463,8553554.68,Normal
2022,12,Retail,1880352,1625767,11193589.72,1625767,9567822.72,Normal
2022,12,Enterprise,1543128,1029907,6855366.48,1029907,5825459.48,Normal
2022,12,Online,2000556,1869553,9062659.3,1869553,7193106.3,Normal
2023,1,Retail,1911132,1494207,9892746.55,1494207,8398539.55,Normal
2023,1,Enterprise,1763448,1241685,9114413.3,1241685,7872728.3,Normal
2023,1,Online,2107800,1685669,12496412.08,1685669,10810743.08,Normal
2023,2,Retail,2254644,1859934,9777934.74,1859934,7918000.74,Normal
2023,2,Enterprise,1761396,1620831,6990296.67,1620831,5369465.67,Normal
2023,2,Online,1467768,1197161,7588921.42,1197161,6391760.42,Normal
2023,3,Retail,1455840,968065,7355112.65,968065,6387047.65,Normal
2023,3,Enterprise,1958568,1359716,8812486.29,1359716,7452770.29,Normal
2023,3,Online,2236200,2039587,10902023.6,2039587,8862436.6,Normal
2023,4,Retail,1497672,947304,8891977.67,947304,7944673.67,Normal
2023,4,Enterprise,1447104,1075355,7523298.62,1075355,6447943.62,Normal
2023,4,Online,1478364,906681,7945740.76,906681,7039059.76,Normal
2023,5,Retail,1536324,966907,9187381.04,966907,8220474.04,Normal
2023,5,Enterprise,1962300,1549494,13445023.17,1549494,11895529.17,Normal
2023,5,Online,2177532,1714311,9984041.23,1714311,8269730.23,Normal
2023,6,Retail,1546296,1072712,10292338.94,1072712,9219626.94,Normal
2023,6,Enterprise,2064216,1327689,8858843.84,1327689,7531154.84,Normal
2023,6,Online,2277540,1794023,12710662.5,1794023,10916639.5,Normal
2023,7,Retail,1646928,1447498,8816134.6,1447498,7368636.6,Normal
2023,7,Enterprise,1708104,1404083,9560246.22,1404083,8156163.22,Normal
2023,7,Online,1646472,1550629,8775570.9,1550629,7224941.9,Normal
2023,8,Retail,2053608,1752327,14004486.09,1752327,12252159.09,Normal
2023,8,Enterprise,1609344,1243372,11695790.92,1243372,10452418.92,Normal
2023,8,Online,1947864,1378878,15960260.14,1378878,14581382.14,Normal
2023,9,Retail,2038596,1670006,15564499.09,1670006,13894493.09,Normal
2023,9,Enterprise,1803924,1648132,13594531.61,1648132,11946399.61,Normal
2023,9,Online,2014596,1867683,14372118.56,1867683,12504435.56,Normal
2023,10,Retail,1539204,1054276,10295758.98,1054276,9241482.98,Normal
2023,10,Enterprise,2257884,1762094,15556740.2,1762094,13794646.2,Normal
2023,10,Online,2233884,1881397,13387393.76,1881397,11505996.76,Normal
2023,11,Retail,1459224,1208692,11944576.53,1208692,10735884.53,Normal
2023,11,Enterprise,2224500,1880110,15911358.67,1880110,14031248.67,Normal
2023,11,Online,1820280,1364966,12245067.21,1364966,10880101.21,Normal
2023,12,Retail,1988016,1350159,15026812.85,1350159,13676653.85,Normal
2023,12,Enterprise,2245428,1499851,16708931.02,1499851,15209080.02,Normal
2023,12,Online,2263008,1662605,15321099.1,1662605,13658494.1,Normal
