customer_id,customer_name,segment,join_date,region,status
CUST10000,"Johnson, Olson and Smith",Online,28-03-2020,North,Active
CUST10001,Colon-Valdez,Enterprise,15-02-2018,West,Active
CUST10002,"Henry, Jones and Farley",Online,21-03-2022,North,Active
CUST10003,Williams-Dalton,Retail,22-03-2021,West,Active
CUST10004,Fisher-Serrano,Enterprise,02-11-2018,East,Active
CUST10005,Jennings Ltd,Online,17-07-2019,South,Active
CUST10006,Tate-Haas,Retail,13-10-2023,West,Active
CUST10007,"Brooks, Aguilar and Young",Enterprise,14-05-2018,North,Active
CUST10008,Herrera-Ingram,Retail,07-09-2018,East,Active
CUST10009,"Dunn, Graham and Brown",Retail,02-02-2021,West,Active
CUST10010,"Moore, Walker and Gutierrez",Retail,06-04-2017,East,Active
CUST10011,Turner-Lawson,Enterprise,04-07-2017,West,Active
CUST10012,Hernandez PLC,Enterprise,13-08-2023,East,Active
CUST10013,"Hernandez, Stuart and Mejia",Enterprise,03-02-2020,South,Active
CUST10014,Meza Group,Online,16-10-2023,East,Active
CUST10015,Sanchez-Hill,Online,27-04-2021,East,Active
CUST10016,Hancock LLC,Retail,10-03-2020,West,Active
CUST10017,Guerrero and Sons,Retail,10-06-2022,West,Active
CUST10018,Mejia-Murphy,Online,27-07-2018,West,Active
CUST10019,"Marquez, Rivera and Flores",Retail,25-07-2017,North,Active
CUST10020,Sullivan-Moore,Retail,11-06-2023,South,Active
CUST10021,Nunez-Allen,Retail,04-09-2020,East,Active
CUST10022,Meyer-Guzman,Online,11-06-2017,East,Active
CUST10023,Craig-Hurst,Retail,14-12-2017,East,Active
CUST10024,"Richards, Ryan and Burns",Online,01-03-2018,West,Active
CUST10025,Garcia-Dickson,Enterprise,20-10-2022,West,Active
CUST10026,Gonzales Inc,Retail,11-05-2017,East,Active
CUST10027,Bass-Marsh,Online,23-12-2017,South,Active
CUST10028,Hampton-Livingston,Retail,28-05-2019,West,Active
CUST10029,Hurst-Wolfe,Retail,19-12-2019,North,Active
CUST10030,"Stone, Mills and Singh",Retail,07-04-2019,West,Active
CUST10031,Mcdaniel Ltd,Enterprise,01-05-2023,North,Active
CUST10032,"Calderon, Mendoza and Aguirre",Online,25-09-2023,North,Active
CUST10033,York-Wright,Retail,10-01-2019,West,Active
CUST10034,Williams PLC,Online,14-05-2022,East,Active
CUST10035,Zavala LLC,Online,21-02-2018,South,Active
CUST10036,Thomas-Larson,Retail,08-06-2023,North,Active
CUST10037,Odom and Sons,Enterprise,24-07-2017,South,Active
CUST10038,Simmons Inc,Retail,15-10-2021,East,Active
CUST10039,Clay-Ford,Enterprise,16-03-2022,West,Active
CUST10040,"Wilcox, Sharp and West",Enterprise,15-03-2022,South,Active
CUST10041,Adams LLC,Online,25-10-2017,East,Active
CUST10042,"Smith, Coleman and Ortiz",Retail,04-09-2019,South,Active
CUST10043,"Gonzalez, Barton and Robles",Retail,07-10-2022,East,Active
CUST10044,Scott-Bryant,Enterprise,25-04-2022,East,Active
CUST10045,"Curry, Owens and Carter",Retail,30-06-2020,South,Active
CUST10046,Sullivan-Fowler,Retail,12-06-2019,West,Active
CUST10047,Olson-Griffin,Enterprise,04-05-2020,East,Active
CUST10048,Miller-Fernandez,Enterprise,28-07-2019,South,Active
CUST10049,"Sullivan, Leon and Oconnell",Retail,11-12-2023,North,Active
CUST10050,"Elliott, Larson and Gross",Enterprise,22-02-2019,East,Active
CUST10051,"Murphy, Morris and Yang",Retail,09-04-2021,North,Active
CUST10052,Obrien-Allen,Enterprise,26-02-2019,West,Active
CUST10053,"Gibbs, Walls and Robinson",Enterprise,19-03-2022,South,Active
CUST10054,Lee-Armstrong,Enterprise,29-01-2020,West,Active
CUST10055,"Smith, Harris and Charles",Online,07-01-2021,South,Active
CUST10056,"Cantu, Elliott and Townsend",Online,06-11-2022,East,Active
CUST10057,Sandoval PLC,Online,10-05-2017,West,Active
CUST10058,"Diaz, Mcconnell and Nguyen",Online,20-06-2021,West,Active
CUST10059,Wilson LLC,Retail,30-12-2023,South,Active
CUST10060,Sharp PLC,Enterprise,30-07-2020,West,Active
CUST10061,Davis-Gonzales,Enterprise,01-03-2023,South,Active
CUST10062,Thomas Group,Enterprise,11-12-2021,East,Active
CUST10063,"Hayes, Ramos and Munoz",Online,24-06-2019,West,Active
CUST10064,Short-Cooper,Enterprise,29-11-2020,South,Active
CUST10065,Price-Davis,Online,27-06-2021,West,Active
CUST10066,Randolph and Sons,Retail,24-06-2021,West,Active
CUST10067,Hudson LLC,Retail,29-11-2020,North,Active
CUST10068,Jacobs and Sons,Enterprise,07-03-2019,North,Active
CUST10069,Williams and Sons,Retail,13-09-2017,East,Active
CUST10070,"Ward, Lopez and Meza",Retail,21-04-2017,South,Active
CUST10071,"Hines, Jones and Malone",Retail,10-06-2020,West,Active
CUST10072,Sullivan Group,Enterprise,02-08-2023,South,Active
CUST10073,Johns-Thompson,Enterprise,26-02-2023,West,Active
CUST10074,"Mccarthy, Hernandez and May",Online,16-11-2021,West,Active
CUST10075,Sanders Inc,Enterprise,25-08-2018,East,Active
CUST10076,Griffith-Collins,Online,12-01-2019,West,Active
CUST10077,"Atkinson, Garcia and Bass",Enterprise,26-08-2020,East,Active
CUST10078,Franklin-Patel,Online,02-02-2017,South,Active
CUST10079,Maynard Group,Online,07-11-2021,South,Active
CUST10080,Dixon Group,Enterprise,13-09-2017,North,Active
CUST10081,Aguilar-Mitchell,Online,29-06-2017,South,Active
CUST10082,Dean PLC,Online,19-09-2020,West,Active
CUST10083,Ross Inc,Retail,15-02-2017,North,Active
CUST10084,Morgan-Sellers,Enterprise,01-02-2022,West,Active
CUST10085,Nguyen-Alvarez,Retail,05-07-2022,East,Active
CUST10086,Harris LLC,Retail,17-09-2023,North,Active
CUST10087,Wright and Sons,Online,15-09-2019,North,Active
CUST10088,"Richards, Barnes and Arnold",Enterprise,22-03-2017,South,Active
CUST10089,Martinez Inc,Online,19-10-2021,West,Active
CUST10090,Martinez Group,Retail,23-06-2017,East,Active
CUST10091,"Hamilton, Stanley and Weber",Online,23-04-2023,West,Active
CUST10092,"Jackson, Park and Lane",Retail,09-03-2020,East,Active
CUST10093,Johnson Ltd,Retail,21-03-2020,North,Active
CUST10094,"Marquez, Wade and Taylor",Online,10-10-2018,South,Active
CUST10095,Murray and Sons,Enterprise,13-12-2018,South,Active
CUST10096,"Parker, Wang and Herrera",Retail,06-01-2019,East,Active
CUST10097,"Roman, Pacheco and Johnston",Enterprise,12-06-2021,West,Active
CUST10098,"Patterson, Hicks and Marquez",Enterprise,08-06-2021,South,Active
CUST10099,"Brown, Clark and Smith",Enterprise,11-01-2018,East,Active
CUST10100,"Wilkinson, Hernandez and Johnson",Retail,12-08-2020,North,Active
CUST10101,"Wilson, Evans and Rosales",Retail,26-03-2018,West,Active
CUST10102,"Taylor, Powell and Moore",Online,05-08-2021,West,Active
CUST10103,"Petersen, Mejia and Morgan",Enterprise,06-09-2021,South,Active
CUST10104,Jackson-Miles,Retail,14-11-2023,West,Active
CUST10105,Meyer-Valdez,Retail,09-12-2020,North,Active
CUST10106,"Gray, Vance and Cisneros",Enterprise,03-03-2022,East,Active
CUST10107,Anderson-Ellis,Enterprise,18-09-2021,West,Active
CUST10108,"Boyd, James and Parsons",Enterprise,04-07-2022,South,Active
CUST10109,"Griffith, Anderson and Esparza",Online,06-07-2023,East,Active
CUST10110,Walker-Woods,Enterprise,17-12-2020,East,Active
CUST10111,"Sharp, Davis and Jones",Online,26-07-2019,West,Active
CUST10112,Patterson-Thompson,Online,21-11-2017,East,Active
CUST10113,"Ross, Wolfe and Lee",Enterprise,28-08-2023,West,Active
CUST10114,Ball Group,Online,13-07-2018,East,Active
CUST10115,"George, Parks and Cardenas",Enterprise,14-09-2019,East,Active
CUST10116,Archer PLC,Enterprise,08-02-2022,West,Active
CUST10117,Nash PLC,Enterprise,07-10-2020,West,Active
CUST10118,Douglas Group,Retail,16-08-2017,East,Active
CUST10119,Pace Group,Online,03-04-2018,West,Active
CUST10120,Richardson Ltd,Retail,16-06-2018,West,Active
CUST10121,Evans-Green,Online,03-06-2017,North,Active
CUST10122,Kelly-Smith,Online,19-09-2021,East,Active
CUST10123,"Merritt, Hale and Chapman",Retail,06-11-2019,East,Active
CUST10124,Stevens-Sawyer,Online,24-10-2017,East,Active
CUST10125,Jordan-Davis,Retail,27-03-2020,West,Active
CUST10126,Weiss PLC,Online,25-07-2017,East,Active
CUST10127,Meyer Ltd,Enterprise,08-11-2020,South,Active
CUST10128,"Webb, Hancock and Fisher",Retail,25-10-2017,South,Active
CUST10129,Rosales-Ochoa,Enterprise,04-10-2019,North,Active
CUST10130,Wallace Group,Online,06-06-2021,North,Active
CUST10131,"Snyder, Barnes and Hoffman",Retail,02-02-2018,North,Active
CUST10132,Perez Group,Enterprise,03-01-2021,South,Active
CUST10133,Turner-Curry,Online,12-05-2023,West,Active
CUST10134,"Wolf, Mason and Richardson",Online,07-12-2021,North,Active
CUST10135,Turner-Young,Enterprise,14-08-2019,South,Active
CUST10136,Schmidt Inc,Enterprise,16-10-2020,South,Active
CUST10137,Brown Group,Online,10-12-2023,East,Active
CUST10138,Martin-Gonzalez,Retail,07-03-2018,North,Active
