transaction_id,transaction_date,amount,account_type,category,business_unit,region,customer_id,vendor_id,description
TRX100000,03-09-2023,-66631.73,Expense,Supplies,Online,West,,VEND1053,Begin catch control dark practice.
TRX100001,13-09-2023,-54305.58,Expense,Utilities,Enterprise,East,,VEND1059,Style guy soldier boy energy above.
TRX100002,27-06-2023,146074.92,Revenue,Subscription,Online,East,CUST10122,,Skill surface drug personal western.
TRX100003,25-06-2023,212157.95,Revenue,Service,Enterprise,West,CUST10027,,Develop many it I rich floor decide.
TRX100004,15-11-2023,-35944.73,Expense,Rent,Enterprise,North,,VEND1046,Choose thought teach never.
TRX100005,04-03-2023,90953.83,Revenue,Service,Retail,South,CUST10332,,Dinner present unit lay course.
TRX100006,08-07-2023,73251.21,Revenue,Service,Online,West,CUST10270,,Data ago arm care hundred represent wonder.
TRX100007,24-03-2022,-21064.02,Expense,Marketing,Online,East,,VEND1115,Sign such remember range ability.
TRX100008,02-08-2022,136347.73,Revenue,Product,Retail,West,CUST10168,,Poor similar feeling close require probably rather thought.
TRX100009,17-06-2023,159482.00,Revenue,Product,Retail,West,CUST10151,,Cause worker statement office able foot.
TRX100010,07-07-2022,15882.36,Equity,Equity,Retail,South,,,Ready enter quite attack resource list commercial.
TRX100011,08-08-2022,217487.82,Revenue,Product,Online,North,CUST10353,,Before green media feeling Mr half trouble.
TRX100012,16-03-2023,-8913.27,Expense,Other,Enterprise,East,,VEND1067,Rise discover visit security end buy medical think.
TRX100013,10-12-2023,139523.96,Revenue,Service,Retail,North,CUST10243,,Military line exist little education family world.
TRX100014,18-07-2023,165589.04,Revenue,Service,Online,East,CUST10357,,Artist place loss morning.
TRX100015,26-01-2023,262541.15,Revenue,Service,Retail,West,CUST10045,,Game evidence support skill pretty.
TRX100016,10-06-2023,152113.39,Revenue,Service,Online,South,CUST10120,,Bad author generation decade increase.
TRX100017,14-06-2022,107495.70,Revenue,Service,Online,North,CUST10228,,Left own eat wife tell with.
TRX100018,21-09-2023,83127.62,Revenue,Subscription,Online,West,CUST10333,,Individual first region.
TRX100019,20-08-2022,145634.47,Revenue,Service,Enterprise,West,CUST10302,,Rise war shake doctor.
TRX100020,16-05-2023,167566.97,Revenue,Service,Retail,North,CUST10042,,Before expect allow job one set.
TRX100021,14-06-2022,-2000.00,Expense,Rent,Online,West,,VEND1022,Side official leave seem financial.
TRX100022,13-03-2023,203374.65,Revenue,Service,Online,South,CUST10021,,Must require bit relate Congress local improve organization.
TRX100023,20-09-2023,171433.19,Revenue,Product,Enterprise,West,CUST10218,,Identify loss across fact government sea upon.
TRX100024,16-10-2022,-60198.87,Expense,Payroll,Enterprise,North,,VEND1058,Big fine cause full reality heart condition another.
TRX100025,20-06-2023,-40143.88,Expense,Rent,Retail,West,,VEND1037,Good owner financial any result summer physical.
TRX100026,09-10-2023,-38329.00,Expense,Marketing,Enterprise,West,,VEND1049,Sport note decide who modern car knowledge.
TRX100027,06-12-2022,193475.45,Revenue,Service,Retail,South,CUST10146,,Game step assume late home order morning to.
TRX100028,17-03-2023,139672.98,Revenue,Subscription,Enterprise,South,CUST10074,,Nature need environment operation country easy across choice.
TRX100029,19-09-2023,198385.78,Revenue,Subscription,Enterprise,North,CUST10011,,Scientist particularly include true listen happy.
TRX100030,10-09-2022,137108.16,Revenue,Service,Enterprise,East,CUST10325,,Citizen help never simple course.
TRX100031,04-03-2022,-44326.21,Expense,Other,Retail,East,,VEND1053,Billion newspaper modern fine career somebody.
TRX100032,13-02-2023,162088.99,Revenue,Service,Enterprise,North,CUST10203,,Wall campaign might anyone.
TRX100033,13-10-2022,138103.68,Revenue,Subscription,Online,North,CUST10151,,Could impact decide key.
TRX100034,14-05-2022,-10197.61,Expense,Utilities,Retail,East,,VEND1014,Imagine must who discover since painting.
TRX100035,07-08-2023,-62926.94,Expense,Marketing,Retail,West,,VEND1093,Training nor arrive.
TRX100036,26-09-2023,144593.87,Revenue,Service,Enterprise,East,CUST10086,,Field some arrive society everybody guy public.
TRX100037,03-02-2022,38814.58,Revenue,Product,Retail,North,CUST10013,,Order agreement mind everything.
TRX100038,26-02-2023,-36977.97,Expense,Rent,Online,East,,VEND1082,Watch would miss interview water trouble.
TRX100039,19-12-2022,-18304.84,Expense,Payroll,Enterprise,East,,VEND1106,Save in thing model.
TRX100040,29-10-2023,248459.88,Revenue,Subscription,Online,East,CUST10022,,Defense argue help someone action throw.
TRX100041,04-10-2022,120099.72,Revenue,Product,Online,East,CUST10128,,Reduce suddenly against ball medical.
TRX100042,23-11-2022,-39571.02,Expense,Other,Online,South,,VEND1063,Far make skill lose audience art.
TRX100043,17-04-2023,79909.54,Revenue,Subscription,Retail,East,CUST10251,,Tax north line it fund describe.
TRX100044,20-02-2023,-50444.36,Expense,Other,Enterprise,North,,VEND1020,Follow put campaign lose summer lot if others.
TRX100045,14-11-2022,-22716.39,Expense,Supplies,Retail,East,,VEND1062,Structure have effect.
