"year","month","revenue","expense"
2022,1,"25538097.88","-7399263.92"
2022,2,"22787659.96","-6128841.46"
2022,3,"25839878.66","-6837846.47"
2022,4,"32862478.97","-7543281.98"
2022,5,"26932607.33","-7347552.76"
2022,6,"34033298.18","-6923308.42"
2022,7,"32543433.61","-7103985.77"
2022,8,"36856527.38","-7371098.00"
2022,9,"32948507.24","-6119524.50"
2022,10,"37149413.47","-7174351.25"
2022,11,"35853481.03","-6342891.49"
2022,12,"34080746.42","-7569363.14"
2023,1,"38067348.30","-7139867.34"
2023,2,"30059682.33","-6278381.32"
2023,3,"33952130.14","-7484462.15"
2023,4,"32132733.86","-8426719.72"
2023,5,"39060302.19","-7062838.65"
2023,6,"37710469.90","-6435755.34"
2023,7,"33452063.44","-6884502.35"
2023,8,"48132079.93","-6805884.46"
2023,9,"49602581.50","-6692279.35"
2023,10,"45611967.49","-6972658.14"
2023,11,"46680203.86","-7461958.06"
2023,12,"52720899.13","-6234683.76"
